Textbook,Subject,Seller,Purchase price,Purchaser,Sale price,Rating
Lifeforms and societies,Year 10 Planets,Caron Mraz  ,19.8,Twyla Maio  ,40,none
Safety on molten worlds,Year 9 Planets,Dallas Quijano  ,29.8,NA,NA,none
Faster than light propulsion,Year 11 Engines,Karen Troxler  ,51.6,Ruthie Calico  ,60,none
Lifeforms and societies,Year 10 Planets,Willis Calbert  ,39.6,NA,NA,5
First contact: a guide,Year 10 Aliens,Kenna Holston  ,71.6,Marceline Quach  ,90,none
Understanding silicon life,Year 10 Aliens,Susy Boswell  ,15.8,Dion Mcalpin  ,40,none
Mapping our quadrant,Year 9 Navigation,Dian Micek  ,21.8,Elmer Falcone  ,45,3
Understanding silicon life,Year 10 Aliens,Willis Calbert  ,15.8,Janee Grammer  ,25,none
First contact: a guide,Year 10 Aliens,Terence Defeo  ,35.8,Lorelei Kroon  ,55,none
Planets and satellites,Year 9 Planets,Myung Krizan  ,71.4,Angeles Ingerson  ,80,none
Mapping our quadrant,Year 9 Navigation,Alexandria Mcgaugh  ,21.8,Antione Tomes  ,35,none
First contact: a guide,Year 10 Aliens,Fairy Bourbon  ,107.4,Susann Seale  ,115,none
Safety on molten worlds,Year 9 Planets,Avelina Rutter  ,89.4,Marvella Amador  ,105,none
First contact: a guide,Year 10 Aliens,Man Mims  ,107.4,Gino Shugart  ,130,none
Mapping our quadrant,Year 9 Navigation,Terresa Fikes  ,87.2,NA,NA,none
Understanding silicon life,Year 10 Aliens,Liz Shearin  ,15.8,Berta Selden  ,40,none
Faster than light propulsion,Year 11 Engines,Jade Delcambre  ,25.8,Many Kinsley  ,35,4
Faster than light propulsion,Year 11 Engines,Stephenie Sicard  ,103.2,Kendal Attaway  ,130,none
Planets and satellites,Year 9 Planets,Esperanza Astin  ,95.2,Jordon Ulibarri  ,120,none
Safety on molten worlds,Year 9 Planets,Carmela Witmer  ,119.2,Sarita Slocumb  ,145,none
Lifeforms and societies,Year 10 Planets,Tyisha Eckstein  ,19.8,Lorelei Kroon  ,30,none
Planets and satellites,Year 9 Planets,Rachael Kilgore  ,23.8,Kayce Witten  ,35,none
First contact: a guide,Year 10 Aliens,Conrad Kutcher  ,71.6,Lula Whang  ,95,5
Mapping our quadrant,Year 9 Navigation,Esperanza Astin  ,43.6,Jordon Ulibarri  ,55,none
Lifeforms and societies,Year 10 Planets,Yevette Lara  ,19.8,Latisha Falkowski  ,30,none
First contact: a guide,Year 10 Aliens,Agnus Mahr  ,107.4,Dane Bohlen  ,120,none
Faster than light propulsion,Year 11 Engines,Chantel Knepper  ,73.2,NA,NA,none
Lifeforms and societies,Year 10 Planets,Keneth Luo  ,79.2,Taina Suriel  ,95,none
Planets and satellites,Year 9 Planets,Shantell Peevy  ,95.2,Lydia Cutshall  ,105,2
Planets and satellites,Year 9 Planets,Trish Sommer  ,71.4,NA,NA,none
Understanding silicon life,Year 10 Aliens,Keneth Luo  ,15.8,Christi Whitfield  ,40,none
First contact: a guide,Year 10 Aliens,Nelly Perone  ,71.6,Clarence Stoddard  ,80,none
Understanding silicon life,Year 10 Aliens,Grace Hoffert  ,31.6,Lyndon Edgecomb  ,40,none
First contact: a guide,Year 10 Aliens,Norberto Fairbank  ,71.6,Joline Perine  ,90,none
Faster than light propulsion,Year 11 Engines,Marleen Wilkes  ,25.8,Toi Escoto  ,50,5
Faster than light propulsion,Year 11 Engines,Corazon Mccreary  ,51.6,Claude Bonomo  ,75,5
Lifeforms and societies,Year 10 Planets,Thi Eagle  ,19.8,Alphonse Coriell  ,45,none
Mapping our quadrant,Year 9 Navigation,Renee Cully  ,65.4,NA,NA,none
Mapping our quadrant,Year 9 Navigation,Janeth Pera  ,87.2,Theressa Noble  ,95,none
Safety on molten worlds,Year 9 Planets,Janeth Pera  ,89.4,Antione Tomes  ,115,4
Faster than light propulsion,Year 11 Engines,Celinda Iliff  ,51.6,Rodrigo Domingues  ,75,none
